PID   COMMAND      %CPU TIME     #TH   #WQ  #PORT MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS          %CPU_ME %CPU_OTHRS UID  FAULTS   COW    MSGSENT   MSGRECV   SYSBSD
6137  Terminal     37.1 01:01.91 8/1   3    278-  63M+   16M    7948K- 6137 1    running  *0-[554]        0.18255 0.78920    501  501956+  997    273504+   54045+    168676+
151   WindowServer 14.9 70:33.17 13    6    2978  623M-  25M+   70M    151  1    sleeping *0[1]           0.94913 0.29152    88   5561081+ 30835  54846135+ 19028757+ 62347540+
0     kernel_task  10.6 46:59.90 168/5 0    0     211M+  0B     0B     0    0    running   0[0]           0.00000 0.00000    0    70161    2679   75818022+ 68737433+ 0
6653  top          5.8  00:01.68 1/1   0    26    5156K  0B     0B     6651 6651 running  *0[1]           0.00000 0.00000    0    7733+    95     422936+   186837+   29161+
655   com.apple.We 3.4  12:27.36 16    3    414   81M    2944K  37M    655  1    sleeping *642[102]       0.00000 0.01063    501  1626114  1753   7101661+  3054811+  9812705+
1437  Telegram     2.7  06:01.49 32    5    1937  340M+  4620K  242M   1437 1    sleeping *0[2497]        0.09268 0.00000    501  1748884+ 3913   987776+   216203+   3419572+
5220  Discord Help 1.7  19:50.27 38    1    696   246M   0B     174M   5206 5206 sleeping *1[54]          0.89569 0.00000    501  1249859+ 33039  4209064+  971397+   11103883+
174   coreaudiod   1.3  03:00.44 9     2    1125  8440K  0B     4548K  174  1    sleeping *0[1]           0.00000 0.27013    202  146685+  270    6783303+  1822896+  7296261+
119   launchservic 1.0  00:44.86 3     2    527   4592K+ 0B     680K   119  1    sleeping *0[65100+]      0.00000 0.72193    0    72383+   131    1130354+  306415+   941176+
662   gamecontroll 0.9  05:41.98 5     4    68    1604K  0B     432K   662  1    sleeping *0[651175+]     0.00000 0.00000    247  27257    158    2921044+  1990748+  7150298+
689   com.apple.We 0.8  08:58.24 7     2    150   385M   36M    68M    689  1    sleeping *0[297507+]     0.00000 0.00000    501  5128346  11756  2358356+  2272844+  4704507+
514   SACMonitor   0.3  01:11.24 6     2    174   7736K  0B     4184K  514  1    sleeping *0[22329+]      0.15964 0.00000    501  33790    307    802291+   129696+   1608699+
518   com.apple.ct 0.2  01:01.99 4     3    28    880K   0B     352K   518  1    sleeping *1[143244+]     0.00000 0.15964    501  2657     113    701614+   146457+   1432956+
105   SACSrv       0.2  01:07.05 7     3    52    1032K  0B     508K   105  1    sleeping *0[1]           0.14771 0.00000    0    4352     113    734682+   131581+   1366963+
281   com.apple.ct 0.2  00:59.50 3     2    27    792K   0B     308K   281  1    sleeping *1[142373+]     0.00000 0.14771    0    2391     108    685517+   142867+   1399926+
144   AirPlayXPCHe 0.2  00:49.49 10    6    353   2252K  0B     780K   144  1    sleeping *0[1]           0.00000 0.00000    0    24029    195    166879+   1261556+  1287389+
81    fseventsd    0.2  00:50.53 12    1    284   2584K  0B     692K   81   1    sleeping *0[1]           0.00000 0.00000    0    231728+  102    91680+    1127      2414908+
5206  Discord      0.1  01:03.37 32    1    669   65M    0B     35M    5206 1    sleeping *0[533]         0.00000 0.00000    501  183601   2293   693349+   351258+   591303+
89    powerd       0.1  00:31.29 3     2    128   1828K  0B     360K   89   1    sleeping *0[1]           0.00000 0.05800    0    137996+  147    307282+   131991+   550183+
94    logd         0.0  00:30.97 4     3    1307  16M+   0B     11M    94   1    sleeping *0[1]           0.00000 0.00000    0    197626+  115    187549+   198617+   591811+
104   mds          0.0  02:30.39 7     4    339   22M    0B     15M    104  1    sleeping *0[1]           0.00694 0.00000    0    539586   283    1298120+  336025    4872228+
610   Safari       0.0  16:04.34 6     1    1963  336M   4712K  156M   610  1    sleeping *0[6027]        0.02266 0.00000    501  3302068  11428  7048384+  2794475+  7806503+
374   Finder       0.0  00:40.84 6     3    552   64M+   0B     41M    374  1    sleeping  0[2043]        0.00000 0.00000    501  418287+  1410   172630+   71949+    260132+
371   Dock         0.0  01:01.81 3     1    575   47M    28M    27M    371  1    sleeping *1[6039]        0.00000 0.04086    501  672197+  508    643809+   58653     495525+
180   nsurlsession 0.0  00:03.59 6     5    75+   2428K+ 0B     760K   180  1    sleeping  0[890]         0.00000 0.00000    242  29645+   216    2210      939       95154+
472   Cloudflare W 0.0  00:54.52 2048  2    2300  55M    0B     36M    472  1    sleeping *0[1529]        0.00000 0.00000    501  119982+  621    184218+   54034+    739530+
498   lockoutagent 0.0  00:06.23 4     3    70    1536K  0B     856K   498  1    sleeping *0[1]           0.00000 0.00000    501  8514     141    26591+    589       234401+
311   mds_stores   0.0  01:52.68 8     6    115   25M    196K   17M    311  1    sleeping *0[1]           0.00000 0.00694    0    1356188+ 222    675697+   66361+    1789722+
429   CleanMyMac X 0.0  00:54.22 10    3    203   19M    0B     11M    429  1    sleeping *0[1]           0.00000 0.00000    501  329097   1438   187113    30140     943038+
1     launchd      0.0  01:06.87 2     1    5005  30M    0B     13M    1    0    sleeping  0[0]           0.00000 0.01279    0    185320   3947   645219+   185227+   908140+
3041  sandboxd     0.0  00:03.18 5     3    66    1992K  0B     340K   3041 1    sleeping *0[1]           0.00000 0.00000    0    49187    165    4943      2260      39566+
6247  Xcode        0.0  00:41.84 9     1    436   139M   4096B  62M    6247 1    sleeping  0[338]         0.00000 0.00000    501  265259+  11698  200513+   40474+    209496+
5831  IDECacheDele 0.0  00:03.57 2     1    62    43M    0B     38M    5831 1    sleeping *0[1]           0.00000 0.00000    501  36896+   7006   2367      2339+     37809+
6254  com.apple.dt 0.0  00:00.55 2     1    52    6668K  0B     5596K  6254 1    sleeping  0[2]           0.00000 0.00000    501  9345+    811    1621      1212+     8379+
304   thermald     0.0  01:10.93 3     1    38    2500K  0B     488K   304  1    sleeping *0[1]           0.00000 0.00000    0    667391   111    4075680   2037844   4069381+
244   mDNSResponde 0.0  00:01.24 3     1    39    1176K  0B     676K   244  1    sleeping *0[1]           0.00000 0.00000    0    2530     126    50120+    25075+    26103+
5999  amsaccountsd 0.0  00:00.39 2     1    80-   2608K- 0B     1548K  5999 1    sleeping  0[6]           0.00000 0.00000    501  5320     258    810       166       7052+
288   postgres     0.0  00:00.21 1     0    8     4648K  0B     4584K  288  110  sleeping *0[1]           0.00000 0.00000    502  1589     77     10        5         7604+
6651  bash         0.0  00:00.00 1     0    11    464K   0B     0B     6651 6497 sleeping *0[1]           0.00000 0.00000    501  488      165    33        16        203
6648  ReportMemory 0.0  00:00.06 2     1    39    952K   0B     0B     6648 1    sleeping  0[4]           0.00000 0.00000    269  1274     130    146       41        995
6646  vm_stat      0.0  00:00.00 1     0    11    244K   0B     0B     6644 6644 sleeping *0[1]           0.00000 0.00000    501  275      78     91        45        161
6644  bash         0.0  00:00.00 1     0    11    472K   0B     0B     6644 6497 sleeping *0[1]           0.00000 0.00000    501  490      167    33        16        203
6614  top          0.0  00:02.78 1     0    454   3712K  0B     0B     6612 6612 sleeping *0[1]           0.00000 0.00000    0    11667    94     608848    256729    42749
6612  bash         0.0  00:00.00 1     0    11    480K   0B     0B     6612 6497 sleeping *0[1]           0.00000 0.00000    501  490      169    33        16        203
6592  mdworker_sha 0.0  00:00.45 4     1    55    1248K  0B     0B     6592 1    sleeping *0[1]           0.00000 0.00000    501  27622    170    1102      436       10624
6567  top          0.0  00:00.75 1     0    23    3856K  0B     1028K  6567 6497 sleeping *0[1]           0.00000 0.00000    0    3950     105    290051    133068    12909
6561  com.apple.Ap 0.0  00:00.03 2     1    75    672K   0B     604K   6561 1    sleeping  0[1]           0.00000 0.00000    270  746      128    245       118       555
6546  pkd          0.0  00:00.06 2     1    44    1056K  0B     544K   6546 1    sleeping  0[1]           0.00000 0.00000    89   2163     153    162       52        870
6527  applessdstat 0.0  00:00.04 2     1    35    704K   0B     672K   6527 1    sleeping *0[1]           0.00000 0.00000    0    950      137    140       59        527

